song_id,name,artist,modify_times,num_beats_per_measure,num_quavers_per_beat,time_signature,time,human_labeled_bars_1,human_labeled_bars_2
1,123我爱你,新乐尘符,3,2,2,4/4,193.94395958333334,71,71
2,123木头人,黑涩会美眉,4,2,2,4/4,230.47598552708337,58,58
3,9420,麦小兜,2,2,2,4/4,228.3242841375,76,76
4,Dear Friend,顺子,2,2,2,4/4,198.9452528,56,57
5,I Believe,范逸臣,1,2,2,4/4,281.13541397083344,72,71
6,Lovelovelove,蔡依林,1,2,2,4/4,225.05910219791667,107,107
7,一万个对不起,祁隆,1,2,2,4/4,212.35039510416667,119,119
8,一万个理由,郑源,3,2,2,4/4,263.6688469729167,69,69
9,一万个舍不得,庄心妍,1,2,2,4/4,205.76826039374998,116,116
10,一个人失忆,薛凯琪,2,2,2,4/4,285.7446020625,84,84
11,一个人的北京,好妹妹乐队,3,2,2,4/4,326.33607693333335,86,86
12,一个人的天荒地老,张宇,3,2,2,4/4,293.97325406875,64,64
13,一个人的寂寞两个人的错,贺一航,3,2,2,4/4,206.1245753125,55,55
14,一个人的精彩,萧亚轩,3,2,3,6/8,186.275218,97,97
15,一个人走,刘佳,4,2,2,4/4,262.75842800000004,61,61
16,一亿个伤心,蒙面哥,3,2,2,4/4,262.7385315875,75,75
17,一剪梅,费玉清,3,2,2,4/4,222.65541000833335,63,63
18,一剪梅 DJ费玉清,DJ费玉清,3,2,2,4/4,207.44980182708335,63,63
19,一千年以后,林俊杰,3,2,2,4/4,225.44841353125003,56,56
20,一千零一夜,邰正宵,3,2,2,4/4,238.16039111458335,101,101
21,一吻之间,张碧晨,2,2,2,4/4,236.17947029166666,55,55
22,一场游戏一场梦,王杰,4,2,2,4/4,251.13651713749996,69,69
23,一壶老酒,陆树铭,2,2,2,4/4,283.78836332916666,59,60
24,一天一点爱恋,梁朝伟,2,2,2,4/4,213.4065140666667,57,57
25,一天到晚游泳的鱼,张雨生,3,2,2,4/4,354.5319645458333,86,87
26,一帘幽梦,邓丽君,2,2,2,4/4,195.4859375,63,63
27,一曲红尘,郭少杰,2,2,2,4/4,268.197265625,69,69
28,一百个放心,张津涤,1,2,2,4/4,242.237919375,60,60
29,一直很安静,阿桑,3,2,2,4/4,247.83611580000002,104,104
30,一眼万年,S.H.E,2,2,2,4/4,261.475,63,63
31,一瞬间,丽江小倩,1,2,2,4/4,181.8387218,92,92
32,一袖云,刘珂矣,4,2,2,4/4,246.31328016666666,59,59
33,一路向北,冷漠,2,2,2,4/4,243.28466696666666,67,68
34,丁香花,唐磊,1,3,2,3/4,259.86261516666667,140,140
35,七里香,刘瑞琦,3,2,2,4/4,276.929439,80,80
36,三十出头,大哲,1,2,2,4/4,198.57763420625,102,102
37,三寸天堂,严艺丹,3,2,2,4/4,284.27505356250003,87,86
38,三寸日光,梁静茹,1,2,2,4/4,274.9796875,90,90
39,三生三世十里桃花,那英,3,2,2,4/4,275.90302537499997,87,86
40,三生石上一滴泪,望海高歌,2,2,2,4/4,276.1047733125,74,74
41,下一次相遇,雨露,4,2,2,4/4,269.449865275,91,92
42,下定决心忘记你,大哲,4,2,2,4/4,211.53772059166667,63,63
43,下沙,游鸿明,3,2,2,4/4,337.0945088875,148,148
44,下辈子不做女人【新版】,陈瑞,2,2,2,4/4,272.7347137875,63,63
45,下辈子如果我还记得你,马郁,2,2,2,4/4,223.55833333333334,52,53
46,下雨了,薛之谦,2,2,2,4/4,301.94507846875,104,104
47,下雨天,南拳妈妈,4,2,2,4/4,246.837890625,61,61
48,下马酒之歌,乌兰图雅,2,2,2,4/4,202.3463444375,90,91
49,不仅仅是喜欢,孙语赛 萧全,4,2,2,4/4,227.3099999625,102,102
50,不再联系,夏天,2,2,2,4/4,200.74040134375,52,52
51,不再见,陈学冬,1,2,2,4/4,242.31155865416665,63,63
52,不分手的恋爱,汪苏泷,2,2,2,4/4,203.83813337499998,70,70
53,不变的情缘,正云,2,2,2,4/4,246.51772040833333,72,73
54,不后悔遇到你,弹唱小蓉,3,2,2,4/4,273.76044052500004,78,78
55,不将就,李荣浩,4,2,2,4/4,308.35057110416665,89,91
56,不愿红尘错过你,吴易航,3,2,2,4/4,290.99397215,99,99
57,不是因为寂寞才想你,T.R.Y,2,2,2,4/4,250.395,76,76
58,不是我不小心,张镐哲,2,2,2,4/4,270.8085785541667,70,70
59,不爱我放了我,许茹芸,3,2,2,4/4,249.01437566666667,63,63
60,不白活一回,毛阿敏,2,2,2,4/4,181.388671875,48,48
61,不管有多苦,那英,2,2,2,4/4,263.38222125,91,92
62,不老梦,银临,2,3,2,3/4,254.52001575000003,282,207
63,不能说的秘密,周杰伦,4,2,2,4/4,318.85924745625,87,87
64,不能这样活,刘欢,3,2,2,4/4,197.49603892083334,49,49
65,不要再来伤害我,张振宇,1,2,2,4/4,316.4914047375,118,117
66,不要在我寂寞的时候说爱我,郑源,4,2,2,4/4,236.4349908375,107,106
67,不要说话,陈奕迅,2,2,2,4/4,278.07419585,76,76
68,不让我的眼泪陪我过夜,齐秦,2,2,2,4/4,262.4140747458333,60,61
69,不醉不会,田馥甄,6,2,2,4/4,228.96271687708332,112,112
70,丑八怪,薛之谦,2,2,2,4/4,242.286306475,61,61
71,世界末日,周杰伦,7,2,2,4/4,252.5815746479167,71,71
72,东方之珠,罗大佑,5,2,2,4/4,241.8860963333333,78,78
73,东风志,Aki阿杰,6,2,2,4/4,265.6019532166667,85,86
74,东风破,周杰伦,2,2,2,4/4,308.8216141333333,93,93
75,丢了幸福的猪,姜玉阳,2,2,2,4/4,267.55799344583335,62,62
76,两只蝴蝶,庞龙,3,2,2,4/4,268.1549479166667,105,106
77,中华民谣,孙浩,1,2,2,4/4,253.971896,108,108
78,为了谁,祖海,2,2,2,4/4,268.97463255,93,94
79,为什么相爱的人不能在一起,郑源,1,2,2,4/4,266.961761325,61,61
80,为你写诗,吴克群,5,2,2,4/4,280.35846712291675,76,77
81,为你我受冷风吹,林忆莲,7,2,2,4/4,252.85104299791664,59,60
82,为你等待,次仁央宗,4,2,2,4/4,260.44250144166665,62,63
83,为你而痛,岳思思,3,2,2,4/4,261.325,64,64
84,为爱付出,庄妮,2,2,2,4/4,211.10521835833333,62,62
85,为爱痴狂,刘若英,4,2,2,4/4,305.0344913729167,114,114
86,九九女儿红,陈少华,2,2,2,4/4,274.97783062499997,69,70
87,九张机,叶炫清,4,2,2,4/4,216.78745805833333,62,62
88,九百九十九朵玫瑰,邰正宵,5,2,2,4/4,246.54048407083334,139,138
89,二十岁的某一天,花粥,1,2,2,4/4,228.081459375,76,77
90,云在飞,云飞,3,2,2,4/4,248.36101176666668,71,71
91,亲亲我的宝贝,周华健,3,2,2,4/4,203.071438725,51,52
92,亲密爱人,蔡琴,1,2,3,6/8,194.31935099999998,62,62
93,亲爱的你怎么不在我身边,江美琪,1,2,2,4/4,256.0717486875,84,84
94,亲爱的小孩,苏芮,2,2,2,4/4,258.5980677333334,66,66
95,亲爱的路人,刘若英,4,2,2,4/4,319.5401003333333,90,90
96,人在旅途,云菲菲,4,2,2,4/4,203.10165967499998,94,94
97,人生若只如初见,望海高歌,3,2,2,4/4,261.2238920958334,75,75
98,人质,张惠妹,1,2,2,4/4,44.65536075000001,12,13
99,人间,王菲,8,2,2,4/4,282.43271584375,74,74
100,今世有缘,云菲菲,2,2,2,4/4,267.302437175,66,66
101,今夜你又在和谁约会,涓子,2,2,2,4/4,298.12948562500003,79,79
102,今夜无眠,周冰倩,1,3,2,3/4,198.80998424999999,193,193
103,今夜的你又在和谁约会,暴林,4,2,2,4/4,297.75,78,79
104,今天,刘德华,1,2,2,4/4,224.547885425,55,55
105,今生只为遇见你,波拉,3,2,2,4/4,301.4596943875,116,116
106,今生缘,川子,4,2,2,4/4,316.0726242291667,86,86
107,从头再来,刘欢,2,3,2,3/4,212.71367775,168,168
108,他一定很爱你,阿杜,4,2,2,4/4,207.7707294479167,85,86
