song_id,name,artist,modify_times,num_beats_per_measure,num_quavers_per_beat,time_signature
1,123我爱你,新乐尘符,3,2,2,4/4
2,123木头人,黑涩会美眉,4,2,2,4/4
3,9420,麦小兜,2,2,2,4/4
4,Dear Friend,顺子,2,2,2,4/4
5,I Believe,范逸臣,1,2,2,4/4
6,Lovelovelove,蔡依林,1,2,2,4/4
7,一万个对不起,祁隆,1,2,2,4/4
8,一万个理由,郑源,3,2,2,4/4
9,一万个舍不得,庄心妍,1,2,2,4/4
10,一个人失忆,薛凯琪,2,2,2,4/4
11,一个人的北京,好妹妹乐队,3,2,2,4/4
12,一个人的天荒地老,张宇,3,2,2,4/4
13,一个人的寂寞两个人的错,贺一航,3,2,2,4/4
14,一个人的精彩,萧亚轩,3,2,3,6/8
15,一个人走,刘佳,4,2,2,4/4
16,一亿个伤心,蒙面哥,3,2,2,4/4
17,一剪梅,费玉清,3,2,2,4/4
18,一剪梅 DJ费玉清,DJ费玉清,3,2,2,4/4
19,一千年以后,林俊杰,3,2,2,4/4
20,一千零一夜,邰正宵,3,2,2,4/4
21,一吻之间,张碧晨,2,2,2,4/4
22,一场游戏一场梦,王杰,4,2,2,4/4
23,一壶老酒,陆树铭,2,2,2,4/4
24,一天一点爱恋,梁朝伟,2,2,2,4/4
25,一天到晚游泳的鱼,张雨生,3,2,2,4/4
26,一帘幽梦,邓丽君,2,2,2,4/4
27,一曲红尘,郭少杰,2,2,2,4/4
28,一百个放心,张津涤,1,2,2,4/4
29,一直很安静,阿桑,3,2,2,4/4
30,一眼万年,S.H.E,2,2,2,4/4
31,一瞬间,丽江小倩,1,2,2,4/4
32,一袖云,刘珂矣,4,2,2,4/4
33,一路向北,冷漠,2,2,2,4/4
34,丁香花,唐磊,1,3,2,3/4
35,七里香,刘瑞琦,3,2,2,4/4
36,三十出头,大哲,1,2,2,4/4
37,三寸天堂,严艺丹,3,2,2,4/4
38,三寸日光,梁静茹,1,2,2,4/4
39,三生三世十里桃花,那英,3,2,2,4/4
40,三生石上一滴泪,望海高歌,2,2,2,4/4
41,下一次相遇,雨露,4,2,2,4/4
42,下定决心忘记你,大哲,4,2,2,4/4
43,下沙,游鸿明,3,2,2,4/4
44,下辈子不做女人【新版】,陈瑞,2,2,2,4/4
45,下辈子如果我还记得你,马郁,2,2,2,4/4
46,下雨了,薛之谦,2,2,2,4/4
47,下雨天,南拳妈妈,4,2,2,4/4
48,下马酒之歌,乌兰图雅,2,2,2,4/4
49,不仅仅是喜欢,孙语赛 萧全,4,2,2,4/4
50,不再联系,夏天,2,2,2,4/4
51,不再见,陈学冬,1,2,2,4/4
52,不分手的恋爱,汪苏泷,2,2,2,4/4
53,不变的情缘,正云,2,2,2,4/4
54,不后悔遇到你,弹唱小蓉,3,2,2,4/4
55,不将就,李荣浩,4,2,2,4/4
56,不愿红尘错过你,吴易航,3,2,2,4/4
57,不是因为寂寞才想你,T.R.Y,2,2,2,4/4
58,不是我不小心,张镐哲,2,2,2,4/4
59,不爱我放了我,许茹芸,3,2,2,4/4
60,不白活一回,毛阿敏,2,2,2,4/4
61,不管有多苦,那英,2,2,2,4/4
62,不老梦,银临,2,3,2,3/4
63,不能说的秘密,周杰伦,4,2,2,4/4
64,不能这样活,刘欢,3,2,2,4/4
65,不要再来伤害我,张振宇,1,2,2,4/4
66,不要在我寂寞的时候说爱我,郑源,4,2,2,4/4
67,不要说话,陈奕迅,2,2,2,4/4
